"site","contract"
"cefa.crco.eurocontrol.int","CRCO"
"cefavalid.crco.eurocontrol.int","CRCO"
"contentzone.eurocontrol.int","CA"
"contentzonetest.eurocontrol.int","CA"
"debi.crco.eurocontrol.int","CRCO"
"debitest.crco.eurocontrol.int","CRCO"
"devzone.eurocontrol.int","CA"
"devzonetest.eurocontrol.int","CA"
"eec50.eurocontrol.int","DGCOM"
"etna.crco.eurocontrol.int","CRCO"
"etnavalid.crco.eurocontrol.int","CRCO"
"etssf.eurocontrol.int","CRCO"
"etssfvalid.crco.eurocontrol.int","CRCO"
"ext-test.eurocontrol.int","CIP"
"ext.eurocontrol.int","CIP"
"extra-test.eurocontrol.int","CIP"
"extra.eurocontrol.int","CIP"
"extranet.eurocontrol.int","CA"
"feast-dev.eurocontrol.int","CIP"
"feast.eurocontrol.int","CIP"
"goto.agency-be.eurocontrol.int","MNST"
"goto.agency-fr.eurocontrol.int","MNST"
"goto.agency-nl.eurocontrol.int","MNST"
"goto.cfmu.eurocontrol.int","MNST"
"goto.contingency.nm.eurocontrol.int","MNST"
"mailservices.test.eurocontrol.int","OA"
"ost-tst.eurocontrol.int","OA"
"ost.eurocontrol.int","OA"
"remote.eurocontrol.int","MNST"
"roma-test.eurocontrol.int","CIP"
"roma.eurocontrol.int","CIP"
"simulations.eurocontrol.int","CA"
"trainingzone.eurocontrol.int","CA"
"trainingzonetest.eurocontrol.int","CA"
"webmail.eurocontrol.int","OA"
"www.atmmasterplan.eu","OSM"
"www.ead.eurocontrol.int","EAD"
"www.eatmportal.eu","OSM"
"www.eurocontrol.int","CA"
"www.b2b.nm.eurocontrol.int","OSM"
"www.b2b.nmvp.nm.eurocontrol.int","OSM"
"www.b2b.preops.nm.eurocontrol.int","OSM"
"www.nm.eurocontrol.int","OSM"
"www.nmvp.nm.eurocontrol.int","OSM"
"www.public.nm.eurocontrol.int","OSM"
"www.public.testx.nm.eurocontrol.int","OSM"
"www.srvs.nm.eurocontrol.int","OSM"
"www.testx.nm.eurocontrol.int","OSM"
"xman.muac.eurocontrol.int","MUAC"
"www.nes.nm.eurocontrol.int","OSM"
"www.nes.contingency.nm.eurocontrol.int","OSM"
"logmein.eurocontrol.int","MNST"
"jobs.eurocontrol.int","CA"
"careers.eurocontrol.int","CA"
"www.b2b.contingency.nm.eurocontrol.int","OSM"
"www.eurocontrol.fr","CA"
"www.eurocontrol.eu","CA"
"www.eurocontrol.aero","CA"
